,url,address,title,area,bedrooms,bathrooms,garages,price,date
1652,vivareal.com/imovel/apartamento-3-quartos-jardim-cidade-de-florianopolis-bairros-sao-jose-com-garagem-83m2-venda-RS420000-id-2514446678/,"Rua Pedro Bunn, 0 - Jardim Cidade de Florianópolis, São José - SC","Apartamento com 3 Quartos à Venda, 83m²
",83,3,2,1,420000,2021-04-28 
1653,vivareal.com/imovel/apartamento-3-quartos-nossa-senhora-do-rosario-bairros-sao-jose-90m2-venda-RS679000-id-2514608244/,"Rua Osvaldo Corrêa de Andrade - Nossa Senhora do Rosário, São José - SC","Apartamento com 3 Quartos à Venda, 90m²
",90,3,2,--,679000,2021-04-28 
1654,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-79m2-venda-RS490000-id-2481488297/,"Rua Tiradentes, 50 - Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 79m²
",79,2,2,1,490000,2021-04-28 
1655,vivareal.com/imovel/apartamento-2-quartos-bela-vista-bairros-sao-jose-com-garagem-66m2-venda-RS273700-id-2517786283/,"Bela Vista, São José - SC","Apartamento com 2 Quartos à Venda, 66m²
",66,2,2,1,273700,2021-04-28 
1656,vivareal.com/imovel/apartamento-3-quartos-floresta-bairros-sao-jose-com-garagem-62m2-venda-RS250000-id-2517533073/,"Rua José Emílio de Souza, 53 - Floresta, São José - SC","Apartamento com 3 Quartos à Venda, 62m²
",62,3,1,1,250000,2021-04-28 
1658,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-86m2-venda-RS390000-id-2501825603/,"Rua Manoel Loureiro - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 86m²
",86,3,2,1,390000,2021-04-28 
1659,vivareal.com/imovel/apartamento-1-quartos-kobrasol-bairros-sao-jose-40m2-venda-RS138000-id-2516271494/,"Rua Antônio Scherer, 209 - Kobrasol, São José - SC","Apartamento com  Quarto à Venda, 40m²
",40,1,1,--,138000,2021-04-28 
1660,vivareal.com/imovel/apartamento-1-quartos-kobrasol-bairros-sao-jose-com-garagem-33m2-venda-RS294000-id-2498000315/,"Rua João Batista Derner Neves, 30 - Kobrasol, São José - SC","Apartamento com  Quarto à Venda, 33m²
",33,1,1,1,294000,2021-04-28 
1661,vivareal.com/imovel/apartamento-4-quartos-floresta-bairros-sao-jose-com-garagem-371m2-venda-RS2220616-id-2510613212/,"Rua Otávio do Patrocínio Medeiros - Floresta, São José - SC","Apartamento com 4 Quartos à Venda, 371m²
",371,4,4,1,2220616,2021-04-28 
1662,vivareal.com/imovel/apartamento-1-quartos-kobrasol-bairros-sao-jose-46m2-venda-RS160000-id-2508913079/,"Rua Delamar José da Silva, 648 - Kobrasol, São José - SC","Apartamento com  Quarto à Venda, 46m²
",46,1,2,--,160000,2021-04-28 
1663,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-118m2-venda-RS799000-id-2513738787/,"Rua Antônio Scherer, 764 - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 118m²
",118,3,3,2,799000,2021-04-28 
